"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","青葉","千歳(北海道)","19",24000000,"","","920",,"台形","21.0","320","平成3年","木造","共同住宅","住宅","北東","市道",9.0,"準工業地域",60,200,"2014年第４四半期","",""
2,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","青葉","千歳(北海道)","15",27000000,"","","280",,"ほぼ長方形","21.0","120","平成26年","木造","住宅","住宅","北西","市道",8.0,"準工業地域",60,200,"2014年第３四半期","",""
3,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","青葉","千歳(北海道)","19",14000000,"","","155",,"ほぼ長方形","12.0","85","昭和48年","木造","住宅","住宅","東","市道",8.0,"準工業地域",60,200,"2014年第３四半期","",""
4,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","青葉","千歳(北海道)","20",23000000,"","","230",,"長方形","15.5","100","平成26年","木造","住宅","","北","市道",6.0,"準工業地域",60,200,"2014年第２四半期","",""
5,"宅地(土地)","商業地","01224","北海道","千歳市","青葉丘","千歳(北海道)","9",580000,"17000","","110",5200,"ほぼ長方形","","","","","","","接面道路無","",,"準工業地域",60,200,"2014年第１四半期","",""
6,"宅地(土地)","住宅地","01224","北海道","千歳市","旭ケ丘","千歳(北海道)","30分?60分",5000000,"56000","","300",17000,"長方形","12.0","","","","","住宅","北西","市道",16.5,"市街化調整区域",60,200,"2014年第４四半期","",""
7,"宅地(土地)","住宅地","01224","北海道","千歳市","旭ケ丘","千歳(北海道)","30分?60分",5000000,"56000","","300",17000,"長方形","11.8","","","","","住宅","北西","市道",16.5,"市街化調整区域",60,200,"2014年第３四半期","",""
8,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","旭ケ丘","千歳(北海道)","30分?60分",13000000,"","","250",,"長方形","14.0","180","平成4年","木造","共同住宅","住宅","北西","市道",8.0,"市街化調整区域",60,200,"2014年第３四半期","",""
9,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","旭ケ丘","千歳(北海道)","30分?60分",19000000,"","","300",,"ほぼ長方形","12.5","290","平成3年","木造","共同住宅","住宅","北西","市道",8.5,"市街化調整区域",60,200,"2014年第３四半期","",""
10,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","旭ケ丘","千歳(北海道)","30分?60分",8800000,"","","360",,"ほぼ長方形","16.0","105","昭和43年","木造","住宅","その他","北西","市道",8.0,"市街化調整区域",60,200,"2014年第３四半期","",""
11,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","旭ケ丘","千歳(北海道)","30分?60分",18000000,"","","350",,"ほぼ長方形","18.5","290","平成2年","木造","共同住宅","","北西","市道",8.0,"市街化調整区域",60,200,"2014年第２四半期","",""
12,"宅地(土地)","住宅地","01224","北海道","千歳市","旭ケ丘","千歳(北海道)","30分?60分",6000000,"94000","","210",29000,"ほぼ長方形","13.0","","","","","","南","市道",8.0,"市街化調整区域",60,200,"2014年第１四半期","",""
13,"宅地(土地)","住宅地","01224","北海道","千歳市","朝日町","千歳(北海道)","16",11000000,"130000","","280",39000,"ほぼ正方形","17.0","","","","","住宅","北西","市道",8.0,"近隣商業地域",80,300,"2014年第３四半期","",""
14,"宅地(土地と建物)","商業地","01224","北海道","千歳市","朝日町","千歳(北海道)","14",16000000,"","","440",,"ほぼ長方形","27.0","200","昭和37年","ＲＣ","工場、事務所","倉庫","北西","市道",20.0,"第１種住居地域",60,200,"2014年第２四半期","",""
15,"宅地(土地)","住宅地","01224","北海道","千歳市","朝日町","千歳(北海道)","18",12000000,"90000","","440",27000,"不整形","12.0","","","","","","北西","市道",8.0,"近隣商業地域",80,300,"2014年第２四半期","",""
16,"宅地(土地)","住宅地","01224","北海道","千歳市","あずさ","千歳(北海道)","30分?60分",4500000,"74000","","200",22000,"長方形","11.5","","","","","","北東","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第４四半期","",""
17,"宅地(土地)","住宅地","01224","北海道","千歳市","あずさ","千歳(北海道)","30分?60分",6300000,"99000","","210",30000,"長方形","12.0","","","","","住宅","南西","町道",8.0,"第１種低層住居専用地域",40,60,"2014年第４四半期","",""
18,"宅地(土地)","住宅地","01224","北海道","千歳市","あずさ","千歳(北海道)","30分?60分",5000000,"82000","","200",25000,"長方形","12.0","","","","","住宅","北東","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第３四半期","",""
19,"宅地(土地)","住宅地","01224","北海道","千歳市","あずさ","千歳(北海道)","30分?60分",5400000,"88000","","200",27000,"長方形","11.5","","","","","住宅","北東","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第３四半期","",""
20,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","あずさ","千歳(北海道)","30分?60分",12000000,"","","200",,"長方形","12.0","135","平成13年","木造","住宅","","北東","市道",10.0,"第２種中高層住居専用地域",60,200,"2014年第３四半期","",""
21,"宅地(土地)","住宅地","01224","北海道","千歳市","あずさ","千歳(北海道)","30分?60分",6100000,"100000","","200",30000,"長方形","9.5","","","","","住宅","北東","市道",14.0,"第１種低層住居専用地域",40,60,"2014年第３四半期","",""
22,"宅地(土地)","住宅地","01224","北海道","千歳市","あずさ","千歳(北海道)","30分?60分",6500000,"100000","","210",31000,"ほぼ長方形","12.0","","","","","住宅","北東","市道",14.0,"第１種低層住居専用地域",40,60,"2014年第２四半期","",""
23,"宅地(土地)","住宅地","01224","北海道","千歳市","あずさ","千歳(北海道)","30分?60分",5200000,"86000","","200",26000,"長方形","11.5","","","","","住宅","北東","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第２四半期","",""
24,"宅地(土地)","住宅地","01224","北海道","千歳市","あずさ","千歳(北海道)","30分?60分",5000000,"82000","","200",25000,"長方形","13.0","","","","","住宅","北西","市道",14.0,"第１種低層住居専用地域",40,60,"2014年第２四半期","",""
25,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","あずさ","千歳(北海道)","28",19000000,"","","220",,"長方形","12.0","105","平成17年","木造","住宅","住宅","北東","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第２四半期","",""
26,"宅地(土地)","住宅地","01224","北海道","千歳市","あずさ","千歳(北海道)","30分?60分",5800000,"85000","","230",26000,"長方形","13.0","","","","","住宅","北東","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第１四半期","",""
27,"宅地(土地)","住宅地","01224","北海道","千歳市","あずさ","千歳(北海道)","30分?60分",6500000,"100000","","210",31000,"長方形","12.5","","","","","住宅","南東","市道",18.0,"第１種低層住居専用地域",40,60,"2014年第１四半期","",""
28,"農地","","01224","北海道","千歳市","泉郷","","",390000,"","","430",,"","","","","","","","","",,"",,,"2014年第４四半期","",""
29,"農地","","01224","北海道","千歳市","泉郷","","",390000,"","","430",,"","","","","","","","","",,"",,,"2014年第３四半期","",""
30,"農地","","01224","北海道","千歳市","泉郷","","",4400000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2014年第２四半期","",""
31,"宅地(土地と建物)","工業地","01224","北海道","千歳市","泉沢","千歳(北海道)","1H30?2H",340000000,"","","2000㎡以上",,"不整形","50.0m以上","120","平成4年","鉄骨造","工場","工場","北","市道",19.0,"工業専用地域",60,200,"2014年第４四半期","",""
32,"宅地(土地)","住宅地","01224","北海道","千歳市","稲穂","千歳(北海道)","23",7300000,"100000","","240",31000,"長方形","14.2","","","","","住宅","北西","市道",8.0,"第１種住居地域",60,200,"2014年第４四半期","",""
33,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","稲穂","千歳(北海道)","18",9700000,"","","220",,"ほぼ長方形","11.5","90","昭和54年","木造","住宅","住宅","北東","市道",8.0,"第１種住居地域",60,200,"2014年第４四半期","",""
34,"宅地(土地)","住宅地","01224","北海道","千歳市","稲穂","千歳(北海道)","18",7300000,"110000","","220",33000,"長方形","14.0","","","","","住宅","北東","市道",8.0,"第１種住居地域",60,200,"2014年第２四半期","",""
35,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","稲穂","千歳(北海道)","18",9000000,"","","230",,"長方形","14.0","105","昭和62年","木造","住宅","住宅","北西","市道",8.0,"第１種住居地域",60,200,"2014年第２四半期","",""
36,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","梅ケ丘","千歳(北海道)","30分?60分",15000000,"","","210",,"ほぼ長方形","10.0","110","昭和59年","木造","住宅","住宅","北西","市道",8.0,"準工業地域",60,200,"2014年第３四半期","",""
37,"農地","","01224","北海道","千歳市","長都","","",3000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2014年第４四半期","",""
38,"宅地(土地)","住宅地","01224","北海道","千歳市","長都駅前","長都","9",6000000,"68000","","290",20000,"ほぼ長方形","20.0","","","","","住宅","北東","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第４四半期","",""
39,"宅地(土地)","住宅地","01224","北海道","千歳市","長都駅前","長都","2",7500000,"100000","","250",30000,"長方形","14.5","","","","","","南東","市道",8.0,"第１種住居地域",60,200,"2014年第２四半期","",""
40,"宅地(土地)","住宅地","01224","北海道","千歳市","長都駅前","長都","15",18000000,"72000","","840",22000,"ほぼ正方形","28.0","","","","","倉庫","南東","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第２四半期","",""
41,"宅地(土地)","住宅地","01224","北海道","千歳市","長都駅前","長都","2",9700000,"100000","","310",31000,"ほぼ正方形","17.0","","","","","住宅","南東","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第１四半期","",""
42,"宅地(土地)","住宅地","01224","北海道","千歳市","春日町","千歳(北海道)","13",25000000,"230000","","360",69000,"不整形","18.0","","","","","","接面道路無","",,"第２種中高層住居専用地域",60,200,"2014年第４四半期","",""
43,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","春日町","千歳(北海道)","16",23000000,"","","400",,"不整形","16.0","500","平成5年","木造","共同住宅","住宅","南西","市道",11.0,"第２種中高層住居専用地域",60,200,"2014年第３四半期","",""
44,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","春日町","千歳(北海道)","16",7500000,"","","390",,"長方形","16.2","135","戦前","木造","住宅、店舗","","北西","市道",14.0,"第２種中高層住居専用地域",60,200,"2014年第１四半期","",""
45,"農地","","01224","北海道","千歳市","釜加","","",230000,"","","180",,"","","","","","","","","",,"",,,"2014年第２四半期","",""
46,"農地","","01224","北海道","千歳市","釜加","","",560000,"","","1400",,"","","","","","","","","",,"",,,"2014年第１四半期","",""
47,"農地","","01224","北海道","千歳市","釜加","","",560000,"","","1400",,"","","","","","","","","",,"",,,"2014年第１四半期","",""
48,"宅地(土地)","工業地","01224","北海道","千歳市","上長都","長都","16",100000000,"29000","","2000㎡以上",8800,"ほぼ台形","50.0m以上","","","","","","北西","市道",17.0,"工業専用地域",60,200,"2014年第３四半期","",""
49,"宅地(土地と建物)","工業地","01224","北海道","千歳市","上長都","長都","27",24000000,"","","2000㎡以上",,"袋地等","","1000","平成8年","鉄骨造","工場","","南西","市道",18.0,"工業地域",60,200,"2014年第１四半期","",""
50,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","北信濃","長都","29",21000000,"","","200",,"長方形","11.0","95","平成26年","木造","住宅","","北東","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第４四半期","",""
51,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","長都","26",22000000,"50000","","1500",15000,"不整形","26.0","","","","","","南西","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第４四半期","",""
52,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","北信濃","長都","26",24000000,"","","230",,"ほぼ長方形","18.0","90","平成27年","木造","住宅","","北東","市道",14.0,"第１種低層住居専用地域",40,60,"2014年第４四半期","",""
53,"宅地(土地)","工業地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",5400000,"50000","","360",15000,"ほぼ長方形","5.0","","","","","","接面道路無","",,"工業地域",60,200,"2014年第４四半期","",""
54,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",6100000,"89000","","230",27000,"長方形","12.0","","","","","","北東","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第３四半期","",""
55,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",10000000,"120000","","290",37000,"ほぼ長方形","16.9","","","","","","北西","市道",14.0,"第１種低層住居専用地域",40,60,"2014年第３四半期","",""
56,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",11000000,"78000","","480",24000,"長方形","28.0","","","","","","北西","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第３四半期","",""
57,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",24000000,"","","220",,"ほぼ正方形","15.0","105","平成26年","木造","住宅","","北東","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第３四半期","",""
58,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",6700000,"94000","","240",28000,"長方形","13.1","","","","","","北東","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第３四半期","",""
59,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",29000000,"","","240",,"ほぼ長方形","12.0","130","平成26年","木造","住宅","","南西","市道",14.0,"第１種低層住居専用地域",40,60,"2014年第３四半期","",""
60,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",6000000,"96000","","210",29000,"長方形","12.0","","","","","","南西","市道",14.0,"第１種低層住居専用地域",40,60,"2014年第３四半期","",""
61,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",8100000,"120000","","220",37000,"ほぼ長方形","10.2","","","","","","南西","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第２四半期","",""
62,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",42000000,"120000","","1100",37000,"不整形","36.6","","","","","","南東","市道",14.0,"第１種低層住居専用地域",40,60,"2014年第２四半期","",""
63,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",5500000,"63000","","290",19000,"長方形","13.6","","","","","","南東","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第１四半期","",""
64,"宅地(土地)","住宅地","01224","北海道","千歳市","協和","追分(北海道)","30分?60分",410000,"11000","","125",3200,"不整形","45.0","","","","","","南","道道",8.0,"都市計画区域外",,,"2014年第４四半期","",""
65,"農地","","01224","北海道","千歳市","協和","","",180000,"","","400",,"","","","","","","","","",,"",,,"2014年第４四半期","",""
66,"農地","","01224","北海道","千歳市","協和","","",7000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2014年第３四半期","",""
67,"宅地(土地)","住宅地","01224","北海道","千歳市","幸福","千歳(北海道)","30分?60分",3900000,"60000","","220",18000,"長方形","13.0","","","","","住宅","北東","市道",8.0,"第１種住居地域",60,200,"2014年第３四半期","",""
68,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","寿","千歳(北海道)","30分?60分",16000000,"","","220",,"長方形","12.5","110","平成26年","木造","住宅","住宅","北西","市道",12.0,"準工業地域",60,200,"2014年第４四半期","",""
69,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","寿","千歳(北海道)","30分?60分",16000000,"","","280",,"ほぼ正方形","16.5","130","平成10年","木造","住宅","","北西","市道",12.0,"準工業地域",60,200,"2014年第２四半期","",""
70,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","寿","千歳(北海道)","30分?60分",5300000,"","","250",,"台形","18.0","120","昭和60年","木造","住宅","住宅","西","市道",8.0,"準工業地域",60,200,"2014年第２四半期","",""
71,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","駒里","南千歳","1H?1H30",180000000,"","","2000㎡以上",,"ほぼ台形","50.0m以上","670","昭和64年","鉄骨造","事務所、倉庫","その他","北東","市道",10.0,"市街化調整区域",60,200,"2014年第３四半期","",""
72,"宅地(土地と建物)","商業地","01224","北海道","千歳市","幸町","千歳(北海道)","11",500000,"","","90",,"長方形","9.0","85","戦前","","","その他","南東","市道",18.0,"商業地域",80,400,"2014年第４四半期","",""
73,"宅地(土地と建物)","商業地","01224","北海道","千歳市","幸町","千歳(北海道)","9",8600000,"","","240",,"不整形","9.0","410","昭和48年","木造","店舗","","南東","市道",11.0,"商業地域",80,400,"2014年第１四半期","",""
74,"宅地(土地)","住宅地","01224","北海道","千歳市","栄町","千歳(北海道)","14",9800000,"150000","","220",44000,"ほぼ長方形","16.8","","","","","住宅","南西","市道",11.0,"第２種中高層住居専用地域",60,200,"2014年第４四半期","",""
75,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","栄町","千歳(北海道)","11",26000000,"","","290",,"ほぼ長方形","8.5","120","平成14年","木造","住宅","","北西","市道",11.0,"第２種中高層住居専用地域",60,200,"2014年第１四半期","",""
76,"宅地(土地と建物)","商業地","01224","北海道","千歳市","栄町","千歳(北海道)","4",630000000,"","","2000㎡以上",,"不整形","45.6","1900","平成15年","鉄骨造","その他","","南西","道道",22.0,"近隣商業地域",80,300,"2014年第１四半期","",""
77,"宅地(土地)","住宅地","01224","北海道","千歳市","栄町","","",6500000,"83000","","260",25000,"長方形","9.0","","","","","住宅","北西","市道",11.0,"第２種中高層住居専用地域",60,200,"2014年第２四半期","",""
78,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","桜木","長都","24",8700000,"","","240",,"長方形","11.0","115","昭和54年","木造","住宅","","北東","市道",18.0,"第１種住居地域",60,200,"2014年第４四半期","",""
79,"宅地(土地)","住宅地","01224","北海道","千歳市","桜木","長都","28",4300000,"70000","","200",21000,"長方形","13.0","","","","","","南西","市道",8.0,"第１種低層住居専用地域",40,80,"2014年第２四半期","",""
80,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","里美","千歳(北海道)","1H30?2H",13000000,"","","370",,"長方形","16.0","110","平成4年","木造","住宅","住宅","北","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第３四半期","",""
81,"宅地(土地)","住宅地","01224","北海道","千歳市","里美","千歳(北海道)","1H30?2H",11000000,"43000","","840",13000,"ほぼ長方形","24.0","","","","","その他","北","市道",13.0,"第１種低層住居専用地域",40,60,"2014年第２四半期","",""
82,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","里美","千歳(北海道)","1H30?2H",13000000,"","","370",,"長方形","15.0","170","平成13年","木造","住宅","住宅","北","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第１四半期","",""
83,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","信濃","千歳(北海道)","29",8600000,"","","240",,"ほぼ長方形","10.5","140","昭和52年","木造","住宅","その他","北東","市道",11.0,"第１種住居地域",60,200,"2014年第４四半期","",""
84,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","信濃","千歳(北海道)","30分?60分",8000000,"","","330",,"長方形","15.0","110","昭和42年","木造","住宅","","北西","市道",8.0,"第２種中高層住居専用地域",60,200,"2014年第４四半期","",""
85,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","信濃","千歳(北海道)","28",5300000,"","","165",,"ほぼ長方形","7.4","155","昭和48年","木造","住宅、事務所、店舗","住宅","南東","道道",18.0,"第２種中高層住居専用地域",60,200,"2014年第４四半期","",""
86,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","信濃","千歳(北海道)","23",18000000,"","","200",,"長方形","11.0","100","平成16年","木造","住宅","住宅","北東","市道",7.0,"第２種中高層住居専用地域",60,200,"2014年第４四半期","",""
87,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","信濃","千歳(北海道)","29",16000000,"","","240",,"長方形","10.0","115","平成17年","木造","住宅","住宅","南東","市道",11.0,"第１種住居地域",60,200,"2014年第３四半期","",""
88,"宅地(土地)","住宅地","01224","北海道","千歳市","信濃","千歳(北海道)","26",9000000,"85000","","350",26000,"長方形","17.0","","","","","","南東","道道",18.0,"第２種中高層住居専用地域",60,200,"2014年第２四半期","",""
89,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","信濃","千歳(北海道)","28",8300000,"","","185",,"長方形","10.0","100","平成7年","木造","住宅","住宅","北西","市道",14.5,"第１種住居地域",50,200,"2014年第２四半期","",""
90,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","信濃","千歳(北海道)","23",27000000,"","","300",,"長方形","12.6","115","平成25年","木造","住宅","","北西","市道",5.4,"準住居地域",60,200,"2014年第１四半期","",""
91,"宅地(土地)","商業地","01224","北海道","千歳市","清水町","千歳(北海道)","13",33000000,"150000","","740",44000,"ほぼ台形","35.5","","","","","住宅","北西","市道",8.0,"商業地域",80,400,"2014年第４四半期","",""
92,"宅地(土地)","商業地","01224","北海道","千歳市","清水町","千歳(北海道)","13",15000000,"150000","","350",44000,"不整形","44.0","","","","","住宅","接面道路無","",,"商業地域",80,400,"2014年第４四半期","",""
93,"宅地(土地と建物)","商業地","01224","北海道","千歳市","清水町","千歳(北海道)","12",27000000,"","","260",,"不整形","19.0","460","昭和57年","木造","店舗","店舗","南東","市道",8.0,"商業地域",80,400,"2014年第４四半期","",""
94,"宅地(土地)","住宅地","01224","北海道","千歳市","清水町","千歳(北海道)","14",2000000,"61000","","110",19000,"不整形","","","","","","その他","北東","市道",11.0,"商業地域",80,400,"2014年第３四半期","",""
95,"宅地(土地と建物)","商業地","01224","北海道","千歳市","清水町","千歳(北海道)","13",14000000,"","","300",,"長方形","11.0","690","昭和53年","鉄骨造","店舗","","南東","市道",8.0,"商業地域",80,400,"2014年第１四半期","",""
96,"宅地(土地と建物)","商業地","01224","北海道","千歳市","清水町","千歳(北海道)","13",10000000,"","","160",,"ほぼ長方形","8.0","260","昭和33年","木造","住宅、店舗","","南東","市道",8.0,"商業地域",80,400,"2014年第１四半期","",""
97,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","清水町","千歳(北海道)","6",5000000,"","","240",,"不整形","9.3","","","","","","南西","市道",8.0,"近隣商業地域",80,300,"2014年第１四半期","",""
98,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","自由ケ丘","長都","28",6300000,"","","270",,"長方形","16.0","100","昭和57年","木造","住宅","住宅","北西","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第４四半期","",""
99,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","自由ケ丘","千歳(北海道)","30分?60分",6700000,"","","330",,"ほぼ長方形","16.5","90","昭和49年","木造","住宅","住宅","北東","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第３四半期","",""
100,"農地","","01224","北海道","千歳市","祝梅","","",4000000,"","","2800",,"","","","","","","","","",,"",,,"2014年第４四半期","",""
101,"農地","","01224","北海道","千歳市","祝梅","","",4000000,"","","2000",,"","","","","","","","","",,"",,,"2014年第４四半期","",""
102,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","白樺","千歳(北海道)","1H30?2H",4000000,"","","350",,"ほぼ長方形","17.5","145","昭和56年","木造","住宅","住宅","北","市道",9.0,"第１種低層住居専用地域",40,60,"2014年第４四半期","",""
103,"宅地(土地)","住宅地","01224","北海道","千歳市","白樺","千歳(北海道)","1H30?2H",8000000,"47000","","560",14000,"台形","18.0","","","","","","南","市道",12.5,"第１種低層住居専用地域",40,60,"2014年第３四半期","",""
104,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","白樺","千歳(北海道)","1H30?2H",7500000,"","","390",,"長方形","16.0","135","昭和59年","軽量鉄骨造","住宅","住宅","西","市道",30.0,"第１種低層住居専用地域",40,60,"2014年第３四半期","",""
105,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","白樺","千歳(北海道)","1H30?2H",6800000,"","","360",,"長方形","18.0","140","昭和60年","木造","住宅","住宅","北","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第３四半期","",""
106,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","白樺","千歳(北海道)","1H30?2H",25000000,"","","1000",,"ほぼ長方形","36.0","370","昭和62年","木造","住宅","住宅","南東","市道",8.0,"第１種低層住居専用地域",40,60,"2014年第２四半期","","調停・競売等"
107,"宅地(土地)","住宅地","01224","北海道","千歳市","新富","千歳(北海道)","24",8200000,"120000","","220",38000,"ほぼ長方形","16.6","","","","","住宅","北西","市道",18.0,"第２種中高層住居専用地域",60,200,"2014年第４四半期","",""
108,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","新富","千歳(北海道)","24",14000000,"","","670",,"長方形","17.4","100","昭和46年","木造","住宅","住宅","北東","市道",7.2,"第２種中高層住居専用地域",60,200,"2014年第４四半期","",""
109,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","新富","千歳(北海道)","25",37000000,"","","330",,"長方形","18.5","390","平成19年","木造","共同住宅","住宅","南西","市道",8.0,"第２種中高層住居専用地域",60,200,"2014年第４四半期","",""
110,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","新富","千歳(北海道)","24",18000000,"","","190",,"長方形","10.3","95","平成27年","木造","住宅","住宅","北西","市道",18.0,"第２種中高層住居専用地域",60,200,"2014年第４四半期","",""
111,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","新富","千歳(北海道)","21",15000000,"","","210",,"ほぼ長方形","10.0","125","平成13年","","","その他","南西","市道",11.0,"第２種中高層住居専用地域",60,200,"2014年第３四半期","",""
112,"宅地(土地)","住宅地","01224","北海道","千歳市","新富","千歳(北海道)","18",15000000,"130000","","390",39000,"長方形","24.0","","","","","住宅","北東","市道",8.0,"第１種中高層住居専用地域",60,200,"2014年第３四半期","",""
113,"宅地(土地)","住宅地","01224","北海道","千歳市","新富","千歳(北海道)","15",16000000,"130000","","390",40000,"長方形","24.0","","","","","住宅","北東","市道",8.0,"第１種中高層住居専用地域",60,200,"2014年第２四半期","",""
114,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","新富","千歳(北海道)","27",25000000,"","","170",,"長方形","9.8","115","平成25年","木造","住宅","","北西","市道",7.0,"第２種中高層住居専用地域",60,200,"2014年第１四半期","",""
115,"宅地(土地)","住宅地","01224","北海道","千歳市","新富","","",8000000,"88000","","300",27000,"ほぼ正方形","16.5","","","","","その他","北東","市道",8.0,"第２種中高層住居専用地域",60,200,"2014年第３四半期","",""
116,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","新富","","",22000000,"","","430",,"長方形","22.5","145","昭和64年","木造","住宅","住宅","南西","市道",7.2,"第２種中高層住居専用地域",60,200,"2014年第２四半期","",""
117,"宅地(土地)","住宅地","01224","北海道","千歳市","末広","千歳(北海道)","5",9700000,"190000","","165",58000,"ほぼ長方形","16.0","","","","","住宅","北西","市道",11.0,"第１種住居地域",60,200,"2014年第４四半期","",""
118,"宅地(土地)","住宅地","01224","北海道","千歳市","末広","千歳(北海道)","4",15000000,"170000","","290",50000,"ほぼ長方形","23.0","","","","","その他","南東","市道",25.0,"第１種住居地域",60,200,"2014年第４四半期","",""
119,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","末広","千歳(北海道)","4",38000000,"","","170",,"ほぼ長方形","16.0","120","平成27年","木造","住宅","住宅","北西","市道",11.0,"第１種住居地域",60,200,"2014年第４四半期","",""
120,"宅地(土地)","住宅地","01224","北海道","千歳市","末広","千歳(北海道)","8",24000000,"150000","","520",46000,"正方形","23.0","","","","","住宅","北東","市道",8.0,"第１種住居地域",60,200,"2014年第３四半期","",""
