"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
2677,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","長都","24",5500000,"68000","","270",21000,"ほぼ長方形","16.7","","","","","","北西","市道",8.0,"第１種低層住居専用地域",40,60,"2012年第１四半期","",""
2678,"林地","","01224","北海道","千歳市","幌加","","",24000,"","","870",,"","","","","","","","","",,"",,,"2015年第１四半期","",""
2679,"農地","","01224","北海道","千歳市","幌加","","",9400000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2015年第１四半期","",""
2680,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","富士","千歳(北海道)","30分?60分",8000000,"","","210",,"ほぼ正方形","14.5","80","昭和59年","木造","住宅","","南西","市道",9.0,"第１種住居地域",60,200,"2013年第２四半期","",""
2681,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","富士","千歳(北海道)","30分?60分",16000000,"","","170",,"長方形","14.5","125","平成9年","木造","住宅","","北東","市道",9.0,"第２種中高層住居専用地域",60,200,"2013年第１四半期","",""
2682,"宅地(土地)","住宅地","01224","北海道","千歳市","富丘","千歳(北海道)","13",5500000,"110000","","165",33000,"長方形","12.0","","","","","","北西","市道",5.5,"第１種住居地域",60,200,"2011年第４四半期","",""
2683,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","富丘","千歳(北海道)","17",29000000,"","","220",,"ほぼ長方形","7.8","120","平成23年","木造","住宅","","南西","市道",11.0,"第１種低層住居専用地域",40,60,"2011年第４四半期","",""
2684,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","富丘","千歳(北海道)","18",30000000,"","","220",,"長方形","9.6","115","平成24年","木造","住宅","","北西","市道",8.0,"第１種低層住居専用地域",40,60,"2011年第４四半期","",""
2685,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","富丘","千歳(北海道)","13",18000000,"","","190",,"ほぼ正方形","13.5","150","平成7年","木造","住宅","","北西","市道",5.5,"第１種住居地域",60,200,"2011年第２四半期","",""
2686,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","本町","千歳(北海道)","23",17000000,"","","200",,"長方形","11.0","115","平成18年","木造","住宅","住宅","北西","道道",20.0,"第１種住居地域",60,200,"2015年第３四半期","",""
2687,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","1",9500000,"32000","","990",9600,"長方形","","","","","","","東","市道",,"",,,"2012年第４四半期","",""
2688,"宅地(土地)","商業地","01224","北海道","千歳市","本町","千歳(北海道)","19",14000000,"100000","","460",31000,"長方形","16.0","","","","","その他","北東","市道",11.0,"近隣商業地域",80,300,"2015年第１四半期","",""
2689,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",6800000,"78000","","290",24000,"長方形","13.2","","","","","","南東","市道",8.0,"第１種低層住居専用地域",40,60,"2012年第４四半期","",""
2690,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",19000000,"100000","","630",30000,"ほぼ長方形","30.0","","","","","","南西","市道",8.0,"第１種低層住居専用地域",40,50,"2012年第３四半期","",""
2691,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",8000000,"86000","","310",26000,"長方形","20.1","","","","","","北東","市道",8.0,"第１種低層住居専用地域",40,60,"2012年第３四半期","",""
2692,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",7800000,"97000","","270",29000,"ほぼ長方形","13.0","","","","","","南西","市道",14.0,"第１種低層住居専用地域",40,60,"2012年第３四半期","",""
2693,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",7300000,"93000","","260",28000,"ほぼ長方形","11.6","","","","","","北東","市道",8.0,"第１種低層住居専用地域",40,60,"2012年第３四半期","",""
2694,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",8200000,"110000","","240",34000,"ほぼ長方形","17.0","","","","","","南東","市道",8.0,"第１種低層住居専用地域",40,60,"2012年第２四半期","",""
2695,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",7400000,"110000","","230",33000,"長方形","12.0","","","","","","南西","市道",8.0,"第１種低層住居専用地域",40,60,"2012年第２四半期","",""
2696,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",8000000,"110000","","240",34000,"ほぼ正方形","15.4","","","","","","南西","市道",8.0,"第１種低層住居専用地域",40,60,"2012年第２四半期","",""
2697,"宅地(土地)","住宅地","01224","北海道","千歳市","北信濃","千歳(北海道)","30分?60分",11000000,"110000","","320",34000,"ほぼ長方形","16.2","","","","","","南西","市道",8.0,"第１種低層住居専用地域",40,60,"2012年第１四半期","",""
2698,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","文京","千歳(北海道)","1H30?2H",16000000,"","","310",,"ほぼ長方形","18.5","160","平成8年","木造","住宅","","西","市道",9.0,"第１種低層住居専用地域",40,60,"2013年第４四半期","",""
